state,value
Mississippi,14
Oklahoma,18
Delaware,4
Minnesota,22
Illinois,174
Arkansas,8
New Mexico,103
Indiana,19
Louisiana,145
Texas,143
Wisconsin,13
Kansas,7
Connecticut,54
California,1816
West Virginia,11
Georgia,88
North Dakota,1
Pennsylvania,119
Alaska,16
Missouri,20
South Dakota,10
Colorado,44
New Jersey,197
Washington,81
New York,748
Nevada,130
Maryland,61
Idaho,8
Wyoming,16
Arizona,123
Iowa,12
Michigan,64
Utah,88
Virginia,70
Oregon,62
Montana,22
New Hampshire,9
Massachusetts,106
South Carolina,30
Vermont,10
Florida,163
Hawaii,62
Kentucky,16
Rhode Island,22
Nebraska,11
Ohio,35
Alabama,20
North Carolina,81
Tennessee,43
Maine,15
